ActorName,Name,DropTableName,DropReason,HasChanceRange 1,Minimum Number Dropped 1,Maximum Number Dropped 1,Item Drop 1,Drop Chance 1,HasChanceRange 2,Minimum Number Dropped 2,Maximum Number Dropped 2,Item Drop 2,Drop Chance 2,HasChanceRange 3,Minimum Number Dropped 3,Maximum Number Dropped 3,Item Drop 3,Drop Chance 3,HasChanceRange 4,Minimum Number Dropped 4,Maximum Number Dropped 4,Item Drop 4,Drop Chance 4,HasChanceRange 5,Minimum Number Dropped 5,Maximum Number Dropped 5,Item Drop 5,Drop Chance 5,HasChanceRange 6,Minimum Number Dropped 6,Maximum Number Dropped 6,Item Drop 6,Drop Chance 6,HasChanceRange 7,Minimum Number Dropped 7,Maximum Number Dropped 7,Item Drop 7,Drop Chance 7,HasChanceRange 8,Minimum Number Dropped 8,Maximum Number Dropped 8,Item Drop 8,Drop Chance 8,HasChanceRange 9,Minimum Number Dropped 9,Maximum Number Dropped 9,Item Drop 9,Drop Chance 9,HasChanceRange 10,Minimum Number Dropped 10,Maximum Number Dropped 10,Item Drop 10,Drop Chance 10,HasChanceRange 11,Minimum Number Dropped 11,Maximum Number Dropped 11,Item Drop 11,Drop Chance 11,HasChanceRange 12,Minimum Number Dropped 12,Maximum Number Dropped 12,Item Drop 12,Drop Chance 12,HasChanceRange 13,Minimum Number Dropped 13,Maximum Number Dropped 13,Item Drop 13,Drop Chance 13,HasChanceRange 14,Minimum Number Dropped 14,Maximum Number Dropped 14,Item Drop 14,Drop Chance 14,HasChanceRange 15,Minimum Number Dropped 15,Maximum Number Dropped 15,Item Drop 15,Drop Chance 15
Enemy_LikeLike_Crack,Rock Like,,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,StartIsland_A,,,,,Like Like Stone,100,FALSE,1,2,Arrow x 5,35,FALSE,1,2,,5,FALSE,1,2,,0,FALSE,1,2,,10,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,StartIsland_B,,,,,Like Like Stone,100,FALSE,1,2,Arrow x 5,35,FALSE,1,2,,5,FALSE,1,2,,0,FALSE,1,2,,10,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,Minus,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,FALSE,1,2,Zonaite,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,Rito,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,Goron,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,Zora,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,Gerudo,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,Seeker,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,Korok,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy_LikeLike_Crack,Rock Like,Sky,,,,,Like Like Stone,100,TRUE,1,2,Arrow x 5,35,TRUE,1,2,,5,TRUE,1,2,,5,TRUE,1,2,,5,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
